price,area,bedrooms,bathrooms,balcony,status,neworold,parking,furnished_status,lift,type_of_building,price_sqft,city
16000000,2082,3,4,,Ready to Move,Resale,,Semi-Furnished,,Flat,7684.918348,Gurgaon
5700000,1500,3,3,,Ready to Move,Resale,,Unfurnished,,Flat,3800.0,Noida
6700000,1277,2,2,3.0,Ready to Move,Resale,1.0,,3.0,Flat,5246.671887,Noida
8000000,1263,3,3,3.0,Ready to Move,Resale,1.0,,0.0,Flat,6334.125099,Gurgaon
5500000,1300,2,2,2.0,Ready to Move,Resale,,,,Flat,4230.769231,Ghaziabad
3500000,1000,2,2,,,Resale,,Unfurnished,,Flat,3500.0,Ghaziabad
4100000,650,2,2,,,Resale,,Semi-Furnished,,Flat,6307.692308,Ghaziabad
5000000,950,2,2,4.0,Ready to Move,Resale,,,,Individual House,5263.157895,Noida
3540000,1025,2,2,,Ready to Move,Resale,,,,Flat,3453.658537,Ghaziabad
8500000,1137,3,2,2.0,Ready to Move,Resale,2.0,,2.0,Individual House,7475.813544,Gurgaon
5500000,1640,3,3,4.0,Ready to Move,Resale,1.0,Unfurnished,,Flat,3353.658537,Ghaziabad
14500000,2860,4,4,2.0,,Resale,3.0,Furnished,1.0,Flat,5069.93007,Faridabad
6500000,987,2,2,,Ready to Move,Resale,,Semi-Furnished,,Flat,6585.612969,Noida
7500000,750,2,2,1.0,Ready to Move,New Property,2.0,Unfurnished,,Flat,10000.0,New Delhi
3000000,750,2,2,,Ready to Move,Resale,1.0,Semi-Furnished,0.0,Flat,4000.0,New Delhi
12500000,1200,2,2,,Under Construction,New Property,1.0,,1.0,Flat,10416.66667,Gurgaon
3000000,554,2,2,,Ready to Move,Resale,,,,Flat,5415.162455,Gurgaon
10000000,1000,2,2,2.0,Ready to Move,New Property,,Semi-Furnished,,Flat,10000.0,Gurgaon
3700000,800,2,2,,Ready to Move,Resale,1.0,Semi-Furnished,,Flat,4625.0,Ghaziabad
2900000,890,2,2,2.0,Ready to Move,Resale,,,,Flat,3258.426966,Ghaziabad
